modelo	tarefa	veredito	parada	turnos	tok_in	tok_out	seg	alterou_teste	arq_extra	job
swe2	facil	VERDE	final	8	62470	4875	246	0	0	job-741d95da49
swe2	medio	VERMELHO	sem_escrita	10	176369	2269	169	0	0	job-2fa78689a5
swe2	dificil	VERMELHO	sem_escrita	13	403410	2304	901	0	0	job-f5f10acbe9
glm	facil	VERMELHO	sem_escrita	10	117280	6289	276	0	0	job-dcdbb3ebda
glm	medio	VERMELHO	sem_progresso	7	129744	300	25	0	0	job-27e7a4c89a
glm	dificil	PLAN_1	-	-	-	-	0	-	-	-
deepseek	facil	VERMELHO	sem_escrita	10	157720	6375	69	0	0	job-146abdb9d6
deepseek	medio	VERMELHO	sem_escrita	10	271469	2588	53	0	0	job-5e752966c6
deepseek	dificil	VERMELHO	sem_escrita	13	338392	5105	75	0	0	job-deea7bf2dd
muse	facil	VERMELHO	sem_escrita	10	163986	13608	324	0	0	job-fd45969580
muse	medio	VERMELHO	sem_escrita	10	296961	5117	66	0	0	job-3fcc69dbcf
muse	dificil	VERMELHO	sem_escrita	12	324921	10928	388	0	0	job-fe987651a5
gemini38	facil	VERMELHO	sem_escrita	10	86341	2790	1167	0	0	job-573de55dc1
gemini38	medio	VERMELHO	sem_escrita	10	84298	2311	50	0	0	job-58832f7659
gemini38	dificil	VERMELHO	sem_escrita	13	301085	2311	66	0	0	job-8c26cd115a
opus46	facil	VERDE	final	7	97977	2920	94	0	0	job-4db6bec9a3
opus46	medio	VERMELHO	sem_escrita	10	298324	1901	84	0	0	job-5bae0cda6d
opus46	dificil	VERDE	final	21	1064908	6288	176	0	1	job-efb95e6f39
