modelo	tarefa	veredito	parada	turnos	tok_in	tok_out	seg	alterou_teste	arq_extra	job
swe2	facil	VERDE	final	9	108527	7159	154	0	0	job-8bedd98ce9
swe2	dificil	VERMELHO	final	38	2414309	15203	1320	0	2	job-52ec0539d5
glm	facil	VERMELHO	final	8	66910	4864	434	0	0	job-71f94dbec7
deepseek	facil	VERDE	final	15	437879	14161	108	0	0	job-a513284ba3
deepseek	dificil	VERMELHO	sem_escrita	25	1067502	13957	124	0	0	job-590fe98810
muse	facil	VERDE	final	15	334930	26134	308	0	0	job-65c29cf312
muse	dificil	VERMELHO	final	19	688623	29060	1225	0	0	job-e83eeddaed
gemini38	facil	VERDE	final	15	321151	5006	67	0	0	job-76439a6856
gemini38	dificil	VERMELHO	sem_escrita	25	1100262	30192	139	0	0	job-0410528b04
opus46	facil	VERDE	final	12	182598	3112	98	0	0	job-7926c74d7a
opus46	dificil	VERDE	final	21	1082000	6315	174	0	1	job-f453f3ba57
swe2	medio	VERDE	final	19	629441	6218	172	0	0	job-0024c1691d
glm	medio	VERMELHO	final	0	0	0	12	0	0	job-f26db0c352
deepseek	medio	VERDE	final	20	694328	7266	93	0	0	job-e118ff65bf
muse	medio	VERDE	final	20	855113	27486	222	0	0	job-daa1dc6ccb
gemini38	medio	VERDE	final	20	745010	16858	110	0	0	job-fb20997fa8
opus46	medio	VERDE	final	14	501957	3205	119	0	0	job-fbf1988ce2
glm	dificil	VERMELHO	sem_escrita	25	1126548	11236	643	0	0	job-53de8ca278
